divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,1,1,0,2	0.011	0.0156273864096	0:0.01702461324[&age_median=0.01702461324,age_mean=0.0182176574727,age_n=11,age_range={0.0083916727,0.02704562952},age_hpdi_95={0.0083916727,0.02704562952},age_qi_95={0.0083969667275,0.0269204538925}],1:0.00320186224[&age_median=0.00320186224,age_mean=0.00348873999182,age_n=11,age_range={0.00028277551,0.00768240917},age_hpdi_95={0.00028277551,0.00768240917},age_qi_95={0.0004630854825,0.0076528603125}],2:0.01070367598[&age_median=0.01070367598,age_mean=0.0112422484173,age_n=11,age_range={0.00314338359,0.02248672859},age_hpdi_95={0.00314338359,0.02248672859},age_qi_95={0.00360387209,0.0216143740025}]
0,1,2,3,0,1	0.011	0.0186911090252	0:0.01587417806[&age_median=0.01587417806,age_mean=0.0166226977509,age_n=11,age_range={0.01082766563,0.03005287234},age_hpdi_95={0.01082766563,0.03005287234},age_qi_95={0.011014800155,0.027797695665}],1:0.00304499698[&age_median=0.00304499698,age_mean=0.00427891663455,age_n=11,age_range={0.00084764258,0.0151924281},age_hpdi_95={0.00084764258,0.0151924281},age_qi_95={0.0008750677125,0.0137195243225}],2:0.00468019724[&age_median=0.00468019724,age_mean=0.00548132686636,age_n=11,age_range={0.00198985389,0.00997464559},age_hpdi_95={0.00198985389,0.00997464559},age_qi_95={0.00210149793,0.009789573965}],3:0.00474255148[&age_median=0.00474255148,age_mean=0.00568513466818,age_n=11,age_range={0.00074047418,0.01219684608},age_hpdi_95={0.00074047418,0.01219684608},age_qi_95={0.0007442768475,0.01201554762}]
0,1,1,1,2,3	0.011	0.015488127927	0:0.02217001089[&age_median=0.02217001089,age_mean=0.0201700249073,age_n=11,age_range={0.00190123095,0.03370695698},age_hpdi_95={0.00190123095,0.03370695698},age_qi_95={0.0038069745425,0.033691953515}],1:0.00264526698[&age_median=0.00264526698,age_mean=0.00244271001273,age_n=11,age_range={0.00012149777,0.00559309541},age_hpdi_95={0.00012149777,0.00559309541},age_qi_95={0.000220962725,0.005067245475}],2:0.01057356731[&age_median=0.01057356731,age_mean=0.0109509641145,age_n=11,age_range={0.00254868855,0.02002229214},age_hpdi_95={0.00254868855,0.02002229214},age_qi_95={0.00324591452,0.0187905139775}],3:0.01204839636[&age_median=0.01204839636,age_mean=0.0100849374764,age_n=11,age_range={0.00121745442,0.01739010583},age_hpdi_95={0.00121745442,0.01739010583},age_qi_95={0.0015527600475,0.0171279618075}]
0,1,1,2,3,0	0.011	0.0184276572467	0:0.01505249955[&age_median=0.01505249955,age_mean=0.0146192067873,age_n=11,age_range={0.0012491997,0.0218142747},age_hpdi_95={0.0012491997,0.0218142747},age_qi_95={0.003556539835,0.0216773677875}],1:0.00315728364[&age_median=0.00315728364,age_mean=0.00249597291182,age_n=11,age_range={0.0001817691,0.00398887674},age_hpdi_95={0.0001817691,0.00398887674},age_qi_95={0.0002691981575,0.0039737702925}],2:0.00231932275[&age_median=0.00231932275,age_mean=0.00278115445636,age_n=11,age_range={0.00030333653,0.00551130001},age_hpdi_95={0.00030333653,0.00551130001},age_qi_95={0.000567832235,0.005365055655}],3:0.01585691815[&age_median=0.01585691815,age_mean=0.0166879615664,age_n=11,age_range={0.00695823923,0.0268153195},age_hpdi_95={0.00695823923,0.0268153195},age_qi_95={0.00748220634,0.026038378525}]
0,1,2,2,1,0	0.01	0.0151791386067	0:0.00923070095[&age_median=0.00923070095,age_mean=0.0116364257,age_n=10,age_range={0.00100607714,0.02977792368},age_hpdi_95={0.00100607714,0.02977792368},age_qi_95={0.002118051179,0.0271728916373}],1:0.009298898635[&age_median=0.009298898635,age_mean=0.011367982956,age_n=10,age_range={0.00439927329,0.0314839553},age_hpdi_95={0.00439927329,0.0314839553},age_qi_95={0.00453981168975,0.0284044374118}],2:0.00313008831[&age_median=0.00313008831,age_mean=0.003668567868,age_n=10,age_range={0.00157133753,0.00710473977},age_hpdi_95={0.00157133753,0.00710473977},age_qi_95={0.00173380704425,0.006916130361}]
0,1,1,2,3,3	0.01	0.0179404415473	0:0.015445273835[&age_median=0.015445273835,age_mean=0.015287730444,age_n=10,age_range={0.00422600854,0.02904352425},age_hpdi_95={0.00422600854,0.02904352425},age_qi_95={0.00473578160125,0.0273670100078}],1:0.002888693465[&age_median=0.002888693465,age_mean=0.003608895072,age_n=10,age_range={0.00010055523,0.00854841593},age_hpdi_95={0.00010055523,0.00854841593},age_qi_95={0.0004673491635,0.00845178670775}],2:0.0011332987[&age_median=0.0011332987,age_mean=0.002815048123,age_n=10,age_range={6.476482e-05,0.0083333598},age_hpdi_95={6.476482e-05,0.0083333598},age_qi_95={0.00011488978225,0.00775302834075}],3:0.01037234992[&age_median=0.01037234992,age_mean=0.010230263686,age_n=10,age_range={0.0036929163,0.01910762506},age_hpdi_95={0.0036929163,0.01910762506},age_qi_95={0.00408673405425,0.017887929202}]
0,0,0,0,0,0	0.009	0.0175713894693	0:0.00598867923[&age_median=0.00598867923,age_mean=0.00615669034778,age_n=9,age_range={0.0028539317,0.00999213756},age_hpdi_95={0.0028539317,0.00999213756},age_qi_95={0.003050239164,0.009885163638}]
0,1,1,2,2,3	0.009	0.014308021631	0:0.02282340116[&age_median=0.02282340116,age_mean=0.0221630630989,age_n=9,age_range={0.00502110356,0.03614619868},age_hpdi_95={0.00502110356,0.03614619868},age_qi_95={0.006481524806,0.035193906598}],1:0.00202773958[&age_median=0.00202773958,age_mean=0.00283936086444,age_n=9,age_range={0.00029627032,0.00615544946},age_hpdi_95={0.00029627032,0.00615544946},age_qi_95={0.000314242274,0.0061394673}],2:0.00667456997[&age_median=0.00667456997,age_mean=0.00693171730333,age_n=9,age_range={0.00156732853,0.01636396384},age_hpdi_95={0.00156732853,0.01636396384},age_qi_95={0.001905268956,0.015137025186}],3:0.00920696991[&age_median=0.00920696991,age_mean=0.00881885353111,age_n=9,age_range={0.0026989457,0.01508546631},age_hpdi_95={0.0026989457,0.01508546631},age_qi_95={0.002976824556,0.01507133542}]
0,1,2,1,2,2	0.009	0.0167073281127	0:0.01829959497[&age_median=0.01829959497,age_mean=0.0184792490222,age_n=9,age_range={0.00539026881,0.03125528129},age_hpdi_95={0.00539026881,0.03125528129},age_qi_95={0.005736201956,0.030403106018}],1:0.00241321925[&age_median=0.00241321925,age_mean=0.00387249985,age_n=9,age_range={0.00124124004,0.01489879328},age_hpdi_95={0.00124124004,0.01489879328},age_qi_95={0.00127601415,0.013109800692}],2:0.00913661079[&age_median=0.00913661079,age_mean=0.0103270425289,age_n=9,age_range={0.00774435938,0.01542134957},age_hpdi_95={0.00774435938,0.01542134957},age_qi_95={0.007778849162,0.01481126819}]
0,1,2,2,0,0	0.009	0.0134942135616	0:0.01170042866[&age_median=0.01170042866,age_mean=0.0135099047333,age_n=9,age_range={0.00647871286,0.02452150729},age_hpdi_95={0.00647871286,0.02452150729},age_qi_95={0.00714017177,0.023502496514}],1:0.00235643774[&age_median=0.00235643774,age_mean=0.00287285578333,age_n=9,age_range={0.00038530629,0.0079252187},age_hpdi_95={0.00038530629,0.0079252187},age_qi_95={0.000475241686,0.007493196166}],2:0.00200788185[&age_median=0.00200788185,age_mean=0.00280005680778,age_n=9,age_range={0.00056230373,0.00522702731},age_hpdi_95={0.00056230373,0.00522702731},age_qi_95={0.00080132383,0.005207719778}]
