divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,1,0,2	0.009	0.0110327091216	0:0.01060193209[&age_median=0.01060193209,age_mean=0.0109305433456,age_n=9,age_range={0.00628681165,0.01692778324},age_hpdi_95={0.00628681165,0.01692778324},age_qi_95={0.00635148225,0.016325176542}],1:0.0017770485[&age_median=0.0017770485,age_mean=0.00259591069889,age_n=9,age_range={0.00027387923,0.00589449103},age_hpdi_95={0.00027387923,0.00589449103},age_qi_95={0.00027897989,0.005809272692}],2:0.00291990784[&age_median=0.00291990784,age_mean=0.00483907222444,age_n=9,age_range={0.0008861861,0.01235526805},age_hpdi_95={0.0008861861,0.01235526805},age_qi_95={0.000907003048,0.012318454442}]
0,1,1,0,1,0	0.008	0.00921660101931	0:0.007625126555[&age_median=0.007625126555,age_mean=0.0075594363275,age_n=8,age_range={0.00282192372,0.01513908026},age_hpdi_95={0.00282192372,0.01513908026},age_qi_95={0.00298949626675,0.0142724352553}],1:0.00288111679[&age_median=0.00288111679,age_mean=0.00270643557,age_n=8,age_range={0.00043164352,0.00463775493},age_hpdi_95={0.00043164352,0.00463775493},age_qi_95={0.000611983323,0.0045750672875}]
0,1,2,1,2,2	0.008	0.00900952488196	0:0.0165055404[&age_median=0.0165055404,age_mean=0.01423900259,age_n=8,age_range={0.0046673596,0.02197087084},age_hpdi_95={0.0046673596,0.02197087084},age_qi_95={0.00469931091975,0.0215586901463}],1:0.00205978468[&age_median=0.00205978468,age_mean=0.003116268235,age_n=8,age_range={0.00010588579,0.011035208},age_hpdi_95={0.00010588579,0.011035208},age_qi_95={0.0001070894995,0.00990323319625}],2:0.00447960337[&age_median=0.00447960337,age_mean=0.00511357597,age_n=8,age_range={0.00146512655,0.01132004781},age_hpdi_95={0.00146512655,0.01132004781},age_qi_95={0.001597315621,0.0107684127015}]
0,1,0,1,0,2	0.008	0.00881393108369	0:0.007535147365[&age_median=0.007535147365,age_mean=0.0083664327925,age_n=8,age_range={0.00365708997,0.01366918457},age_hpdi_95={0.00365708997,0.01366918457},age_qi_95={0.00407781648075,0.0136163547982}],1:0.00086325905[&age_median=0.00086325905,age_mean=0.00091875698125,age_n=8,age_range={1.329436e-05,0.00172491526},age_hpdi_95={1.329436e-05,0.00172491526},age_qi_95={3.881534675e-05,0.001722835686}],2:0.006245151145[&age_median=0.006245151145,age_mean=0.00769013691,age_n=8,age_range={0.00182772555,0.01545888242},age_hpdi_95={0.00182772555,0.01545888242},age_qi_95={0.002280746034,0.015244730699}]
0,1,0,1,0,0	0.008	0.00862914227723	0:0.006581419975[&age_median=0.006581419975,age_mean=0.00670991614125,age_n=8,age_range={0.00354596724,0.00994711498},age_hpdi_95={0.00354596724,0.00994711498},age_qi_95={0.003657855387,0.009869047942}],1:0.00178621799[&age_median=0.00178621799,age_mean=0.00203761882875,age_n=8,age_range={0.00010129048,0.00409863255},age_hpdi_95={0.00010129048,0.00409863255},age_qi_95={0.00019790258825,0.0040919988985}]
0,1,2,1,3,2	0.007	0.00845541409604	0:0.01867642329[&age_median=0.01867642329,age_mean=0.0184138960871,age_n=7,age_range={0.00999252983,0.02654230658},age_hpdi_95={0.00999252983,0.02654230658},age_qi_95={0.0103672340585,0.026027785976}],1:0.00036906846[&age_median=0.00036906846,age_mean=0.00123729593571,age_n=7,age_range={1.17461e-05,0.00493671179},age_hpdi_95={1.17461e-05,0.00493671179},age_qi_95={2.46945995e-05,0.0045694119455}],2:0.00222347387[&age_median=0.00222347387,age_mean=0.00677768926857,age_n=7,age_range={0.00137436952,0.01537354383},age_hpdi_95={0.00137436952,0.01537354383},age_qi_95={0.001450963522,0.015296121012}],3:0.01326096785[&age_median=0.01326096785,age_mean=0.0120164269871,age_n=7,age_range={0.00219207662,0.0211437525},age_hpdi_95={0.00219207662,0.0211437525},age_qi_95={0.0023084391455,0.0210463140495}]
0,1,2,2,3,0	0.007	0.00829353949236	0:0.01164208438[&age_median=0.01164208438,age_mean=0.0104855495271,age_n=7,age_range={0.00016799243,0.02094284252},age_hpdi_95={0.00016799243,0.02094284252},age_qi_95={0.000563297072,0.020637397112}],1:0.00315570212[&age_median=0.00315570212,age_mean=0.00456394103714,age_n=7,age_range={0.00069224764,0.0117354263},age_hpdi_95={0.00069224764,0.0117354263},age_qi_95={0.0007997179465,0.010964765738}],2:0.00296776276[&age_median=0.00296776276,age_mean=0.00313140466429,age_n=7,age_range={0.00094614486,0.00585139516},age_hpdi_95={0.00094614486,0.00585139516},age_qi_95={0.0009462856425,0.00583717006}],3:0.00557895993[&age_median=0.00557895993,age_mean=0.00652263490714,age_n=7,age_range={0.00053655259,0.01196582579},age_hpdi_95={0.00053655259,0.01196582579},age_qi_95={0.000652010743,0.011948948327}]
0,0,0,1,0,1	0.007	0.0081444498187	0:0.00580586839[&age_median=0.00580586839,age_mean=0.00467776535,age_n=7,age_range={0.0006976874,0.00759400511},age_hpdi_95={0.0006976874,0.00759400511},age_qi_95={0.000910705049,0.0074146193645}],1:0.00315075418[&age_median=0.00315075418,age_mean=0.00436493891286,age_n=7,age_range={0.00220843361,0.00904946525},age_hpdi_95={0.00220843361,0.00904946525},age_qi_95={0.0022306259645,0.0087629899835}]
0,1,0,0,0,0	0.007	0.00933159211878	0:0.0034622047[&age_median=0.0034622047,age_mean=0.00354444030143,age_n=7,age_range={0.00060480598,0.00561460629},age_hpdi_95={0.00060480598,0.00561460629},age_qi_95={0.0008781849985,0.0055325274045}],1:0.00234203631[&age_median=0.00234203631,age_mean=0.00309230499429,age_n=7,age_range={0.00024955464,0.00688355503},age_hpdi_95={0.00024955464,0.00688355503},age_qi_95={0.0003516544185,0.006857837191}]
0,1,1,1,2,2	0.006	0.00786862944477	0:0.0112718751[&age_median=0.0112718751,age_mean=0.0115919701667,age_n=6,age_range={0.00214166551,0.02211159858},age_hpdi_95={0.00214166551,0.02211159858},age_qi_95={0.0022943949425,0.021771561975}],1:0.001282650685[&age_median=0.001282650685,age_mean=0.00171525864167,age_n=6,age_range={0.00056553114,0.00406190547},age_hpdi_95={0.00056553114,0.00406190547},age_qi_95={0.00063583338,0.0038005253875}],2:0.00670121419[&age_median=0.00670121419,age_mean=0.00687286922667,age_n=6,age_range={0.00350209813,0.01196468641},age_hpdi_95={0.00350209813,0.01196468641},age_qi_95={0.00373380554,0.0113456312375}]
0,0,0,0,0,1	0.006	0.00776344034209	0:0.00196902324[&age_median=0.00196902324,age_mean=0.00232248895333,age_n=6,age_range={0.00055234302,0.00496481299},age_hpdi_95={0.00055234302,0.00496481299},age_qi_95={0.00056241839875,0.00482505951375}],1:0.005055266425[&age_median=0.005055266425,age_mean=0.007388761295,age_n=6,age_range={0.00297162106,0.02005318792},age_hpdi_95={0.00297162106,0.02005318792},age_qi_95={0.00309198451625,0.0184543765838}]
0,1,1,0,0,0	0.006	0.0076714350879	0:0.00560156946[&age_median=0.00560156946,age_mean=0.00587278965333,age_n=6,age_range={0.00247839769,0.01049752378},age_hpdi_95={0.00247839769,0.01049752378},age_qi_95={0.00254633388375,0.0101898070937}],1:0.00132196834[&age_median=0.00132196834,age_mean=0.00184065401,age_n=6,age_range={0.00025436724,0.00406142244},age_hpdi_95={0.00025436724,0.00406142244},age_qi_95={0.00034910779625,0.00393773288625}]
0,1,0,0,2,0	0.006	0.00759130132184	0:0.00322015717[&age_median=0.00322015717,age_mean=0.003248888185,age_n=6,age_range={0.00068240446,0.00560324855},age_hpdi_95={0.00068240446,0.00560324855},age_qi_95={0.00076471871125,0.0055811478925}],1:0.00546050467[&age_median=0.00546050467,age_mean=0.00654205456,age_n=6,age_range={0.00059266159,0.01664319353},age_hpdi_95={0.00059266159,0.01664319353},age_qi_95={0.0006477120975,0.015820593995}],2:0.00836197661[&age_median=0.00836197661,age_mean=0.009250167435,age_n=6,age_range={0.00392527257,0.01538448105},age_hpdi_95={0.00392527257,0.01538448105},age_qi_95={0.00430646420875,0.01502298243}]
