PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
40	0.00431427953	0.00431427953	0.01280572852	0.00352455051	0.00659405454	0.00216135725	0.011745	0.004462	0.002212	0.002404	0.004374	0.004596	0.011745	0.004462	0.002212	0.002404	0.004374	0.004596	0.011745	0.004462	0.002212	0.002404	0.004374	0.004596	1	5	1.44692802456424e-05	0.00561904164666667	0.00257504413661463	0.676957202320364	0.027304	0.003624	0.007032	0.003556	0.010169	0.004258	0.030969	0.005186	0.008797	0.003753	0.010522	0.004510	0.011156	0.001239	0.010005	0.007095	0.013464	0.002005	0.052236	0.022204	0.026033	0.020672	0.030904	0.019222
53	0.01029160723	0.00200021425	0.00200021425	0.01029160723	0.00750746717	0.00184141660	0.013218	0.002915	0.004573	0.003045	0.004943	0.006465	0.013218	0.002915	0.004573	0.003045	0.004943	0.006465	0.013218	0.002915	0.004573	0.003045	0.004943	0.006465	1	4	1.75372445736011e-05	0.00565542112166667	0.00310096174914606	0.740484086782563	0.026739	0.004449	0.005287	0.007255	0.012859	0.011895	0.026381	0.006050	0.007917	0.007238	0.010101	0.010825	0.012061	0.003850	0.005483	0.014599	0.017503	0.003583	0.048131	0.023991	0.024688	0.028742	0.030275	0.029850
20	0.01971935652	0.00037065447	0.00037065447	0.00037065447	0.01971935652	0.01971935652	0.006067	0.002206	0.004135	0.002753	0.005674	0.002935	0.006067	0.002206	0.004135	0.002753	0.005674	0.002935	0.006067	0.002206	0.004135	0.002753	0.005674	0.002935	1	2	0.000112311681305902	0.010045005495	0.0111808481699494	1.05502386997265	0.027715	0.006002	0.007546	0.006624	0.017455	0.009406	0.024087	0.004322	0.007037	0.004557	0.013468	0.011727	0.036920	0.006333	0.000000	0.000000	0.028575	0.031951	0.045952	0.020264	0.023269	0.022786	0.035001	0.031079
165	0.00535737423	0.00449264018	0.00915634012	0.00535737423	0.00535737423	0.00449264018	0.005570	0.003027	0.002339	0.002321	0.004840	0.002875	0.005570	0.003027	0.002339	0.002321	0.004840	0.002875	0.005570	0.003027	0.002339	0.002321	0.004840	0.002875	1	3	3.04277365414128e-06	0.00570229052833333	0.000533605511508483	0.305904230463028	0.031887	0.007379	0.003645	0.004221	0.012114	0.006429	0.025234	0.006050	0.005278	0.004825	0.012626	0.008119	0.032589	0.008290	0.010261	0.010260	0.013473	0.021922	0.047053	0.023991	0.020137	0.023449	0.033879	0.025824
57	0.01511859725	0.00019350072	0.00306475584	0.00306475584	0.00306475584	0.01820116799	0.006404	0.002606	0.006614	0.002461	0.006236	0.002602	0.006404	0.002606	0.006614	0.002461	0.006236	0.002602	0.006404	0.002606	0.006614	0.002461	0.006236	0.002602	1	4	5.68162447910875e-05	0.00711792224666667	0.00798213900379351	1.05896845516081	0.024542	0.000597	0.006571	0.004595	0.014677	0.011328	0.021793	0.002593	0.007917	0.005093	0.015993	0.013531	0.025098	0.000027	0.005574	0.002325	0.008508	0.032836	0.043672	0.015686	0.024688	0.024094	0.038177	0.033407
18	0.00658348487	0.00455161762	0.00658348487	0.00260141234	0.00862383243	0.01156476121	0.012873	0.002404	0.002732	0.003322	0.004779	0.005877	0.012873	0.002404	0.002732	0.003322	0.004779	0.005877	0.012873	0.002404	0.002732	0.003322	0.004779	0.005877	1	5	9.75845608317899e-06	0.00675143222333333	0.00144539051276457	0.462694826725489	0.019660	0.002247	0.007802	0.003220	0.014605	0.015623	0.025234	0.003457	0.011436	0.004825	0.013888	0.016238	0.014460	0.000558	0.021480	0.003680	0.023917	0.016964	0.047053	0.018119	0.029712	0.023449	0.035549	0.036633
10	0.02345793644	0.00877409451	0.00119757751	0.00119757751	0.01775732849	0.01337543542	0.011037	0.002475	0.004555	0.003264	0.007314	0.006196	0.011037	0.002475	0.004555	0.003264	0.007314	0.006196	0.011037	0.002475	0.004555	0.003264	0.007314	0.006196	1	5	8.0724877336949e-05	0.0109599916466667	0.00736541412980916	0.819772742202036	0.028791	0.006235	0.004697	0.002631	0.025540	0.007462	0.026381	0.006915	0.007917	0.004289	0.023568	0.009021	0.037712	0.007653	0.001291	0.000612	0.028673	0.019440	0.048131	0.025655	0.024688	0.022104	0.046472	0.027231
28	0.00638145591	0.00086840279	0.00638145591	0.00086840279	0.02731636523	0.01469176285	0.007244	0.004401	0.003092	0.003517	0.004245	0.001082	0.007244	0.004401	0.003092	0.003517	0.004245	0.001082	0.007244	0.004401	0.003092	0.003517	0.004245	0.001082	1	4	0.000102559295485608	0.00941797424666667	0.0108897404897775	1.0753009163468	0.022389	0.004176	0.002952	0.002888	0.021665	0.006731	0.022940	0.003457	0.003519	0.004289	0.015151	0.009021	0.017116	0.001951	0.004998	0.001100	0.036181	0.029614	0.044826	0.018119	0.016431	0.022104	0.037147	0.027231
27	0.01713309090	0.00783396612	0.00140360030	0.00140360030	0.01761072297	0.01713309090	0.007898	0.003328	0.005809	0.002712	0.002374	0.003435	0.007898	0.003328	0.005809	0.002712	0.002374	0.003435	0.007898	0.003328	0.005809	0.002712	0.002374	0.003435	1	4	6.22232346807162e-05	0.0104196785816667	0.00597170384796681	0.757045478097046	0.033551	0.003550	0.007315	0.002331	0.020448	0.009247	0.026381	0.005186	0.010556	0.003485	0.012626	0.013531	0.041005	0.003645	0.003605	0.001034	0.037225	0.029049	0.048131	0.022204	0.028537	0.019919	0.033879	0.033407
18	0.01060897418	0.00273716115	0.01060897418	0.00208573640	0.02285875239	0.01806811212	0.008720	0.003390	0.004233	0.003051	0.003548	0.002829	0.008720	0.003390	0.004233	0.003051	0.003548	0.002829	0.008720	0.003390	0.004233	0.003051	0.003548	0.002829	1	5	6.7695308744112e-05	0.01116128507	0.00606518947590253	0.73716564329594	0.023876	0.007533	0.003696	0.003485	0.028793	0.008834	0.025234	0.006050	0.006158	0.004825	0.019781	0.011727	0.018568	0.006904	0.005370	0.002073	0.052363	0.025330	0.047053	0.023991	0.021758	0.023449	0.042516	0.031079
