PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
10	0.01157121131	0.00198502982	0.00472658463	0.00072698386	0.00634497650	0.00072698386	0.020106	0.004087	0.008122	0.006440	0.008004	0.004689	0.020106	0.004087	0.008122	0.006440	0.008004	0.004689	0.020106	0.004087	0.008122	0.006440	0.008004	0.004689	1	5	1.76226320935057e-05	0.00434696166333333	0.0040540113896455	0.965716334310939	0.022456	0.006173	0.005672	0.004105	0.013194	0.005926	0.029822	0.006915	0.007917	0.005093	0.018939	0.006766	0.023554	0.004844	0.008312	0.002436	0.008863	0.005619	0.051238	0.025655	0.024688	0.024094	0.041589	0.023562
1	0.00783416371	0.01324987114	0.00023054630	0.00007063762	0.00014410758	0.01094342337	0.016174	0.005360	0.006897	0.005166	0.020181	0.011147	0.016174	0.005360	0.006897	0.005166	0.020181	0.011147	0.016174	0.005360	0.006897	0.005166	0.020181	0.011147	1	6	3.62048101036409e-05	0.00541212495333333	0.00668957395030991	1.11177095029023	0.019682	0.009165	0.002438	0.004556	0.024036	0.012424	0.029822	0.007779	0.005278	0.004825	0.020622	0.013080	0.006194	0.009816	0.000000	0.000000	0.000000	0.013995	0.051238	0.027220	0.020137	0.023449	0.043425	0.032840
46	0.01291187630	0.00153694515	0.01908902762	0.00063308580	0.00153694515	0.00153694515	0.009197	0.005353	0.006483	0.006542	0.014456	0.011732	0.009197	0.005353	0.006483	0.006542	0.014456	0.011732	0.009197	0.005353	0.006483	0.006542	0.014456	0.011732	1	4	6.14797513770935e-05	0.00620747086166667	0.00990415464642014	1.26313963191897	0.039964	0.002389	0.006904	0.005402	0.016184	0.014574	0.033263	0.003457	0.007917	0.007238	0.016414	0.011727	0.020612	0.000653	0.018118	0.000000	0.000000	0.000000	0.054181	0.018119	0.024688	0.028742	0.038682	0.031079
19	0.00695850942	0.00134321369	0.00312443340	0.00134321369	0.00312443340	0.00132623896	0.011397	0.003350	0.005443	0.001294	0.004883	0.008737	0.011397	0.003350	0.005443	0.001294	0.004883	0.008737	0.011397	0.003350	0.005443	0.001294	0.004883	0.008737	1	4	4.77814660172534e-06	0.00287000709333333	0.00166485532834549	0.761634775248634	0.039830	0.006645	0.003183	0.003285	0.013283	0.011741	0.030969	0.006915	0.004398	0.003753	0.012205	0.009923	0.007425	0.003625	0.004837	0.003806	0.006283	0.000000	0.052236	0.025655	0.018377	0.020672	0.033305	0.028569
52	0.02421795887	0.00086784982	0.00086784982	0.00530356865	0.00192317373	0.00530356865	0.023515	0.003188	0.003518	0.002669	0.012769	0.003487	0.023515	0.003188	0.003518	0.002669	0.012769	0.003487	0.023515	0.003188	0.003518	0.002669	0.012769	0.003487	1	4	8.02268302472346e-05	0.00641399492333333	0.0125080906995076	1.3964686966233	0.031443	0.003374	0.005159	0.006274	0.014520	0.006196	0.032116	0.004322	0.003519	0.006969	0.020201	0.009021	0.030176	0.000159	0.001182	0.011214	0.003585	0.010058	0.053217	0.020264	0.016431	0.028203	0.042973	0.027231
25	0.01640160326	0.00069740795	0.00265308114	0.00069740795	0.00767714967	0.00767714967	0.018047	0.005199	0.007119	0.002870	0.005781	0.006706	0.018047	0.005199	0.007119	0.002870	0.005781	0.006706	0.018047	0.005199	0.007119	0.002870	0.005781	0.006706	1	4	3.62498854797862e-05	0.00596729994	0.00607475505576584	1.00896349094906	0.036280	0.008028	0.007905	0.002458	0.013173	0.009194	0.036704	0.007779	0.007917	0.003753	0.013468	0.014884	0.021666	0.000127	0.001058	0.001477	0.014759	0.028483	0.056986	0.027220	0.024688	0.020672	0.035001	0.035056
59	0.00362628916	0.00362628916	0.00324421917	0.00324421917	0.01463204437	0.00362628916	0.016363	0.006429	0.005001	0.004119	0.009759	0.007485	0.016363	0.006429	0.005001	0.004119	0.009759	0.007485	0.016363	0.006429	0.005001	0.004119	0.009759	0.007485	1	3	2.07873644554129e-05	0.00533322503166667	0.00389770998448133	0.854889152373718	0.024941	0.008608	0.004928	0.005050	0.020766	0.009141	0.028675	0.007779	0.007037	0.006165	0.017255	0.008119	0.010052	0.006588	0.002620	0.008562	0.018821	0.003089	0.050222	0.027220	0.023269	0.026518	0.039673	0.025824
144	0.00790687789	0.00664474061	0.00790687789	0.01487400689	0.00790687789	0.01037730679	0.011946	0.004217	0.009103	0.000924	0.011305	0.004284	0.011946	0.004217	0.009103	0.000924	0.011305	0.004284	0.011946	0.004217	0.009103	0.000924	0.011305	0.004284	1	4	9.01946244943504e-06	0.00926944799333333	0.000973031237234613	0.323993617741077	0.026184	0.008124	0.007263	0.007742	0.016300	0.009554	0.027528	0.005186	0.007917	0.005093	0.020201	0.010374	0.010722	0.014389	0.003530	0.020627	0.014284	0.022389	0.049187	0.022204	0.024688	0.024094	0.042973	0.029217
1	0.01017362779	0.00273929091	0.00276883698	0.00333695758	0.00189077996	0.01836690347	0.015087	0.007730	0.009152	0.003617	0.009043	0.006647	0.015087	0.007730	0.009152	0.003617	0.009043	0.006647	0.015087	0.007730	0.009152	0.003617	0.009043	0.006647	1	6	4.27240927306665e-05	0.006546066115	0.00652668212940383	0.998518319526679	0.030555	0.003391	0.010523	0.002144	0.009992	0.010534	0.032116	0.006050	0.012316	0.003217	0.013047	0.012178	0.007265	0.000101	0.006989	0.004499	0.007897	0.021557	0.053217	0.023991	0.030844	0.019135	0.034445	0.031677
8	0.00315037194	0.00948893382	0.00062067410	0.00100860897	0.01320792554	0.00062067410	0.014165	0.005175	0.003479	0.005147	0.004113	0.013953	0.014165	0.005175	0.003479	0.005147	0.004113	0.013953	0.014165	0.005175	0.003479	0.005147	0.004113	0.013953	1	5	2.89252873764532e-05	0.004682864745	0.00617683596506549	1.14849002339643	0.030910	0.007294	0.000847	0.005553	0.014649	0.007774	0.034410	0.006050	0.002639	0.005361	0.010942	0.011276	0.014706	0.008988	0.000000	0.001227	0.020821	0.001657	0.055131	0.023991	0.014225	0.024722	0.031521	0.030471
